{'it': 0, 'loss': 0.708, 'pred_iou': 0.071, 't': 1.1}
{'it': 200, 'loss': 0.26, 'pred_iou': 0.0, 't': 24.7}
{'it': 400, 'loss': 0.274, 'pred_iou': 0.062, 't': 49.8}
{'it': 600, 'loss': 0.215, 'pred_iou': 0.0, 't': 73.5}
{'it': 800, 'loss': 0.27, 'pred_iou': 0.001, 't': 97.3}
{'it': 1000, 'loss': 0.223, 'pred_iou': 0.016, 't': 121.1}
{'it': 1200, 'loss': 0.244, 'pred_iou': 0.008, 't': 145.0}
{'it': 1400, 'loss': 0.308, 'pred_iou': 0.008, 't': 168.6}
{'it': 1600, 'loss': 0.257, 'pred_iou': 0.008, 't': 192.4}
{'it': 1800, 'loss': 0.302, 'pred_iou': 0.019, 't': 216.6}
{'it': 2000, 'loss': 0.291, 'pred_iou': 0.012, 't': 265.9}
{'it': 2200, 'loss': 0.322, 'pred_iou': 0.04, 't': 315.0}
{'it': 2400, 'loss': 0.175, 'pred_iou': 0.076, 't': 354.2}
{'it': 2600, 'loss': 0.232, 'pred_iou': 0.068, 't': 378.2}
{'it': 2800, 'loss': 0.289, 'pred_iou': 0.042, 't': 401.9}
{'it': 3000, 'loss': 0.311, 'pred_iou': 0.067, 't': 426.0}
{'it': 3200, 'loss': 0.299, 'pred_iou': 0.052, 't': 450.3}
{'it': 3400, 'loss': 0.212, 'pred_iou': 0.08, 't': 491.3}
{'it': 3600, 'loss': 0.345, 'pred_iou': 0.043, 't': 541.1}
{'it': 3800, 'loss': 0.218, 'pred_iou': 0.069, 't': 590.2}
{'it': 4000, 'loss': 0.265, 'pred_iou': 0.059, 't': 640.2}
{'it': 4200, 'loss': 0.237, 'pred_iou': 0.078, 't': 689.8}
{'it': 4400, 'loss': 0.24, 'pred_iou': 0.074, 't': 739.8}
{'it': 4600, 'loss': 0.231, 'pred_iou': 0.053, 't': 777.4}
{'it': 4800, 'loss': 0.249, 'pred_iou': 0.059, 't': 815.6}
{'it': 5000, 'loss': 0.26, 'pred_iou': 0.06, 't': 866.0}
{'it': 5200, 'loss': 0.252, 'pred_iou': 0.158, 't': 938.4}
{'it': 5400, 'loss': 0.229, 'pred_iou': 0.095, 't': 1005.5}
{'it': 5600, 'loss': 0.191, 'pred_iou': 0.199, 't': 1077.6}
{'it': 5800, 'loss': 0.24, 'pred_iou': 0.108, 't': 1146.3}
{'it': 6000, 'loss': 0.196, 'pred_iou': 0.141, 't': 1196.2}
{'it': 6200, 'loss': 0.245, 'pred_iou': 0.103, 't': 1244.7}
{'it': 6400, 'loss': 0.226, 'pred_iou': 0.135, 't': 1279.5}
{'it': 6600, 'loss': 0.2, 'pred_iou': 0.101, 't': 1328.3}
{'it': 6800, 'loss': 0.235, 'pred_iou': 0.091, 't': 1377.7}
{'it': 7000, 'loss': 0.204, 'pred_iou': 0.106, 't': 1427.3}
{'it': 7200, 'loss': 0.244, 'pred_iou': 0.182, 't': 1477.4}
{'it': 7400, 'loss': 0.253, 'pred_iou': 0.069, 't': 1527.1}
{'it': 7600, 'loss': 0.24, 'pred_iou': 0.172, 't': 1558.6}
{'it': 7800, 'loss': 0.274, 'pred_iou': 0.11, 't': 1582.3}
saved runs_mod_flow/feedforward.pt train_s 1606.2
