{'it': 0, 'loss': 0.704, 'pred_iou': 0.077, 't': 1.1}
{'it': 200, 'loss': 0.314, 'pred_iou': 0.0, 't': 24.6}
{'it': 400, 'loss': 0.334, 'pred_iou': 0.032, 't': 48.6}
{'it': 600, 'loss': 0.273, 'pred_iou': 0.032, 't': 72.5}
{'it': 800, 'loss': 0.263, 'pred_iou': 0.079, 't': 96.3}
{'it': 1000, 'loss': 0.196, 'pred_iou': 0.089, 't': 120.1}
{'it': 1200, 'loss': 0.26, 'pred_iou': 0.098, 't': 144.1}
{'it': 1400, 'loss': 0.237, 'pred_iou': 0.113, 't': 167.8}
{'it': 1600, 'loss': 0.278, 'pred_iou': 0.116, 't': 191.4}
{'it': 1800, 'loss': 0.159, 'pred_iou': 0.148, 't': 215.3}
{'it': 2000, 'loss': 0.182, 'pred_iou': 0.168, 't': 239.4}
{'it': 2200, 'loss': 0.214, 'pred_iou': 0.179, 't': 263.5}
{'it': 2400, 'loss': 0.173, 'pred_iou': 0.195, 't': 287.3}
{'it': 2600, 'loss': 0.217, 'pred_iou': 0.219, 't': 311.5}
{'it': 2800, 'loss': 0.13, 'pred_iou': 0.218, 't': 335.1}
{'it': 3000, 'loss': 0.118, 'pred_iou': 0.372, 't': 359.4}
{'it': 3200, 'loss': 0.13, 'pred_iou': 0.191, 't': 383.5}
{'it': 3400, 'loss': 0.134, 'pred_iou': 0.328, 't': 407.3}
{'it': 3600, 'loss': 0.143, 'pred_iou': 0.248, 't': 431.1}
{'it': 3800, 'loss': 0.216, 'pred_iou': 0.369, 't': 455.0}
{'it': 4000, 'loss': 0.142, 'pred_iou': 0.393, 't': 479.0}
{'it': 4200, 'loss': 0.121, 'pred_iou': 0.405, 't': 502.9}
{'it': 4400, 'loss': 0.118, 'pred_iou': 0.371, 't': 526.8}
{'it': 4600, 'loss': 0.121, 'pred_iou': 0.522, 't': 550.5}
{'it': 4800, 'loss': 0.161, 'pred_iou': 0.356, 't': 574.2}
{'it': 5000, 'loss': 0.15, 'pred_iou': 0.352, 't': 598.0}
{'it': 5200, 'loss': 0.127, 'pred_iou': 0.43, 't': 621.6}
{'it': 5400, 'loss': 0.163, 'pred_iou': 0.344, 't': 645.6}
{'it': 5600, 'loss': 0.104, 'pred_iou': 0.338, 't': 669.6}
{'it': 5800, 'loss': 0.135, 'pred_iou': 0.497, 't': 694.0}
{'it': 6000, 'loss': 0.11, 'pred_iou': 0.357, 't': 717.9}
{'it': 6200, 'loss': 0.112, 'pred_iou': 0.377, 't': 742.1}
{'it': 6400, 'loss': 0.104, 'pred_iou': 0.491, 't': 766.1}
{'it': 6600, 'loss': 0.123, 'pred_iou': 0.505, 't': 789.8}
{'it': 6800, 'loss': 0.123, 'pred_iou': 0.45, 't': 813.5}
{'it': 7000, 'loss': 0.099, 'pred_iou': 0.511, 't': 837.4}
{'it': 7200, 'loss': 0.094, 'pred_iou': 0.497, 't': 861.3}
{'it': 7400, 'loss': 0.113, 'pred_iou': 0.491, 't': 885.2}
{'it': 7600, 'loss': 0.106, 'pred_iou': 0.415, 't': 909.2}
{'it': 7800, 'loss': 0.112, 'pred_iou': 0.525, 't': 932.9}
saved runs_video_s2/feedforward.pt train_s 957.0
